"","book","reviewer","rating","review"
"35","The time traveler's wife"," F","it was ok"," This story was really cool but it was far too long for what it was I liked the idea of the time travelling and the book started off really good But it either went downhill or I lost interest by the end Didn t really like Henry or Clare I love short chapters in books but this was almost too choppy for me And don t get me started on the dream parts I just wouldn t read them I don t care So many chapters could have been taken out this book with no damage to the storyline"
"36","The time traveler's wife"," Madeline","liked it"," Just in time for the movie release I finally got around to reading this after it d been sitting on my bookshelf for months There s a lot of hype surrounding this book which automatically makes me want to hate it in a very superior way But I can t hate it because frankly I liked reading this Not loved just liked The simplest thing I can say about this story is that it s nice But just for fun I m going to do this review in a style I call The Good The Bad and The Ugly Because then I get to complain and nitpick more The Good Niffenegger say that five times fast gets maximum points for originality plus ten bonus points for writing a book centered on time travel that never makes the readers go cross-eyed from confusion Yes the time travel aspect takes a little getting used to but it didn t leave me nearly as mystified as plot devices like that usually do And while I wish she hadn t felt the need to come up with a scientific explanation as to why Henry time travels genes really I understand why she wanted to make the story as plausible and realistic as possible The Bad the book is a romantic story first and foremost and you have to be in the right mood for that Since I possess a level of cynicism and disillusionment usually reserved for ninety-year-old war veterans schmoopy romances like this are rarely my cup of tea But for the most part it was okay The next thing is a minor nitpick but it s still bugging me at one point in the story Henry describes his former girlfriend as looking like her usual Bond Girl self I wonder how many Bond movies has this author actually seen I d guess the answer is not many but maybe I ve just seen too many Is it just me or does describing someone as looking like a Bond Girl seem way too unspecific I mean think about all the different Bond Girls - they don t all fit into one specific mold Pussy Galore vs Vesper Lynd for instance The Ugly To be perfectly frank I got a little tired of constantly hearing about how mind-blowingly fantastic Henry and Clare s sex life was It seemed like every five pages they were fucking again and Niffenegger almost never says having sex or making love it is always fucking Classy Really Niffenegger we don t need to know all of this stuff You say Clare goes crazy for oral sex How fascinating can we move on now Oh good now Clare is fucking someone else I hope we get a blow-by-blow description and then a tasteful far overdue fade-to-black The author gets credit for keeping Henry and Clare s early relationship relatively not-creepy this was when he was in his forties and time traveling to Clare s childhood but that goes out the window when Clare turns eighteen and Henry visits her as a -year-old This incendentally is the point at which Clare discovers just how much she loves having cunnilingus performed on her Excuse me while I go stand in the corner doing the cootie dance more"
"37","The time traveler's wife"," Joe Valdez","did not like it"," JOE It s a routine evening in November I m reading a novel about time travel because November is Science Fiction Month The novel is The Time Traveler s Wife by Audrey Niffenegger It was a very popular novel made into a very unpopular movie starring Eric Bana and Rachel McAdams Few people went to see the movie and fewer seemed to like what they saw This made me afraid at first but now I think the movie must be better than the novel The author uses very plain language Let me explain The basis of her novel is one of the greatest adventures a couple could possibly experience Time travel The author alternates between the couple CLARE and HENRY who tell their story in first person Like I am Like a script CLARE talks Then HENRY talks It s all very plain Which I don t mind plain I read novels to become engaged in a story Language is a bonus Audrey Niffengger is skilled at neither language or storytelling There s too much telling in this book and not enough story The telling continues on and on Like this long plain paragraph I m writing Clare tells about missing Henry who disappears into thin air to pop up in the past A metaphor for men absent in their relationships Maybe I am not the demographic for this novel Clare suffers and is sad I could care less about Clare Or Henry I like Eric Bana and Rachel McAdams but that s as far as it goes So I am adding this novel to my Abandoned pile If you are a fan of this novel please tell me about your experiences more"
"38","The time traveler's wife"," Hippo dari Hongkong","liked it"," OK to be honest I m having a hard time reviewing this book I had a mixed feeling that sometimes I like this book and sometimes I dislike this book There were moments when I just want to throw this book and moments when I suddenly realized that I m having a hard time putting it down It s difficult to write the review cause somehow I want to tell you everything Henry has chrono-displacement disorder and he will be sucked backs and forth in time mostly when he was stressed He can t control it didn t ask for it and is not exactly happy with it But he learns how to handle it He shows up naked and has to figure out how to survive for however long he is there Sounds sci-fi to you I have never been a fan of sci-fi but I can tell this is not pure sci-fi In my opinion the time travel is just an element background for the story Perhaps some people might be more carried away by the romance and relationship between Henry and Clare The story unfurls through time with first person perspectives from both Henry and Clare The first pages really engaging and intrigued me I remember that I found it a little difficult at first I mean I couldn t keep track of anything cause the time line shifting back and forth rapidly But on the contrary that was the main point that hooked me I eagerly awaited the moment where it would become obvious that Clare and Henry were meant to be together The battle between free will vs fate plays an important role in the story That s was the biggest issue for me that keep me wondering all the time even after I finished the book But then things turned for me at some point midway through the book I don t why but I felt the book suddenly turns out to be so tedious for me that I decided to put it off for a week Too much unnecessary details for me I guess D but then there s something itching in my mind that somehow triggered my curiosity to find out what will happen to Henry So I decided to finished it OK SPOILERS ALERT DO NOT READ BEYOND THIS POINT IF YOU HAVEN T READ THE BOOK OR YOU HAVE PLAN TO READ THIS BOOKAfter finished this book I have so many question dangling in my head Do I like it Do I hate it should I gave two stars or four stars instead of two stars I mean this book sometimes funny shocking boring heartbreaking and disturbing at the same time I don t know whether I m confuse or just stupid The GoodThe non-linear narrative was interesting The idea about love story blended with the time travel adventure are great It make me wondering this question what if constantly I know that certain scene made some people sobbing and bathed in tears Well I admit that I had my moment too D Not the ending part though But the moment when Henry and Claire meet the seven years old Alba I loved her from the future How Alba ran toward Henry and crying in his shoulder and Henry whispered in her ear not to tell Clare that he will be dead soon Henry died when Alba was five years old So I understand how happy Alba and Henry to see each other It s heartbreaking I feel like an ugly giant sap at that scene Ok there I said it Enough about that DThe BadI don t know how I felt about Clare character it seemed to me that she is never given a real chance to have her own life Some of her decisions were made because she knew about the future for example would Clare learn to like coffee if Henry didn t tell her that she already like it in the future and I think Henry and Clare relationship is pretty much built on sex Did I mention that there s so much sex in this book I remember I uttered the F words out loud in the middle of the night when I stumble upon the scene in which Clare had sex with Henry while the present Henry is a asleep next to her I don t know but for me that s just freaking annoying I also found the relationship between the young Clare and the older Henry disturbing For me it was kinda child molestation by an adult male it seemed wrong even though nothing wrong happened between them at least until Clare turns eighteen years old I said whoaaaa at Clare s birthday D more"
"39","The time traveler's wife"," Carol","really liked it"," In this imaginative and unusually written story an unorthodox romance develops between the handsome time-traveling librarian Henry and beautiful artist Clare who struggle to find a way to accept and adjust to their difficult relationship With no conscious control over staying put in the present time or knowledge of where he will end up next the often naked Henry encounters many dangerous and embarrassing moments relives some horrendous occurrences of times past and handles it all with wit and a forthwith manner of acceptance As a huge fan of time travel novels I really enjoyed this story even though I vaguely remember not liking the movie do not recall why more"
"40","The time traveler's wife"," Helene Jeppesen","it was ok"," So As you can see from my rating I m one of those very few people who didn t absolutely love this book I started out reading with an open mind and high expectations because I had heard so many great things about this novel however I finished reading the last pages with an urgency because I wanted for it to end I had quite some problems with this book but let me start with the main one While reading this book I came to a realization about my reading preferences I like for my storylines to be mostly linear because I like to dive into the story and understand things from beginning to end The storyline of The Time Traveler s Wife is obviously not linear because it deals with time traveling and the protagonist Henry can actually travel both forward and backward in time That results in a very messy plot line where you really need to be focused in order to understand the rules to this time traveling and what is going on I spent so much time being confused while reading this book and I wasn t really enjoying myself There is one chapter that stood out to me because it was magical and adorable but I think that s because that s the only long chapter in the book with almost no time traveling We got to actually stick with the period and the characters and actually get to know them and their situation in depth In contrast the rest of the novel was a blur to me with too much shifting in time and space for my taste Furthermore I don t think Audrey Niffenegger does a good job at explaining this time traveling I can t go into spoilers but while the book gradually gave me some answers I m still left with some troubling questions after having finished it To me the time traveling just didn t make sense and that just made me even more frustrated Niffenegger is also very fond of telling the story instead of showing it which is another literary devise that I strongly dislike Some of the telling became too exaggerated for me and decreased my reading experience I saw some things coming that were supposed to be a surprise and I wasn t amused Last but not least I need to mention the one thing that I liked about this story and that is the relationship between Henry and Clare They are adorable together and I wanted to follow their progress but even that was ruined with questions that kept appearing in my head about Clare s tolerance towards Henry s traveling So even though I did find small parts of this book enjoyable I wouldn t recommend it if you know that you like the kind of books that I like more"
"41","The time traveler's wife"," Alyssa","it was amazing"," I will admit I was slightly nervous to pick up this novel I had heard it is very sad which it is and I wasn t sure if I was willing to read something sad However I am very happy I decided to read it anyway because it is an amazing novel It definitely deserves to be a BBC classic novel While I found the writing style and concept to be slightly confusing at first I quickly got the hang of reading it and now think it is very unique and intriguing I loved reading the love story from both the male and female perspective This book definitely deserves five stars and a spot on my favorites shelf more"
"42","The time traveler's wife"," Tatiana","did not like it"," I know this book is very popular and critically acclaimed but I simply couldn t finish it I think I gave it a fair chance - CDs out of it just failed to grab my attention I liked the concept of time travel and structure of the book but it was just too boring for me especially when Clare and Henry finally met in real time I wouldn t advise against reading this book but I personally was bored to tears by it"
"43","The time traveler's wife"," Dorothea","did not like it"," Meh I wish I could go back in time and read something else"
"44","The time traveler's wife"," Jen","really liked it"," I married at age twenty a dozen years ago Every year of marriage only confirms that I chose well or was lucky or the fates were smiling upon me whatever and if my married years aren t proof enough there s Facebook as a nice reminder But I remember that at the time of my wedding I didn t really feel like I had a big choice to make There was no nail-biting scenario where a cartoon drawing of myself might have looked pained over having to choose between a heavenly or hellish future drawn in bubbles above my penciled head There was no crossroad of decision there was only forward along a path that wanted walking that I had always been walking Because everything in me wanted to eat sleep breathe next to this other person I don t think that feeling that way is unusual most songs are either about feeling it or not feeling it what is unusual is that I still feel that way I know I know it s a bit embarrassing but it is true And that above all is why I like this book I have to admit that although at first I winced at Clare as a young child being visited by Henry it didn t take me long to get used to reading about it And the reason is that I have often wished that my lover had been there alongside me growing up that he had been there to watch me empty out that whole industrial size bottle of glue on that eighth grade asshole Burton I just never wished that he could watch it high-five me and collapse with laughter over it next to me as an adult I mean as long as I m wishing I might as well wish that he could have seen Burton s face while only four years older than myself There are plenty of negative reviews about this book The time traveling aspect has holes in it arguably It is a fiction book chronicling two people in love and one of them time travels There will be holes Some reviewers didn t like the sex in it- too much Too graphic But life is graphic and sex is graphic and well I guess I am just one of those that doesn t mind a little graphic sex now and then And I feel kind of sorry for those who do mind So sorry so very sorry But there are books for you too Sweet books where two characters are so into each other so drenched in themselves when together that they make tea sit in rockers Hold hands I think they are called inspirational romance but I wouldn t really know I m too busy having sex The only thing negative I have to say about the book is that the ending should have come sooner A clean ending is always nice even when heartbreaking No need to tie things up in pretty bows two people are in love one of them time travels There will be pain Time s a bitch straightforward we all knew reading the book that bouncing back and forth ping-ponging through it would be painful more"
"45","The time traveler's wife"," Hirdesh","it was amazing"," Great book as I d expected after watching the movie Epic writing with twisting way I d just loved it I ve watched no of movies about Time travelling Time machine But this fiction was genuine and flowed with emotions as well righteousness of the Lady character- Clare and his lover The time traveler- Henry"
"46","The time traveler's wife"," Kristy","really liked it"," I wish that this book was a Choose Your Own Adventure so that when Henry starts yapping off at the jib about seventies punk to that high school kid at the Christmas party that you could choose instead of having the kid listen in rapt gratefulness while Henry lists off all the bands this schmuck has to find out about to have the kid kick him square in his unbelievably pretentious punkrocklibrarian balls People like this book I know I threw my credibility out the window when I admitted that I read Jacqueline Susann novels but I do have some taste actually And I can t prove it you can just believe me or not believe me but this book is completely tedious And I like the idea of it and I have nothing against the romance genre but these characters are just completely grating This book is having the same effect on me as a Donna Tartt novel I got all pissed off when I spent valuable hours of my life reading The Secret History as well Also a turd with annoying contrived pretentious characters Does anyone else think Clare is irritating too This Poor Little Rich girl thing is just making her completely unlikeable to me and the description of her life in Chicago and the Aragon and whatever UGH I am going to send Niffeneger my doctor bills from when I had to go to the emergency room to get my eyes to roll back down out of my head It s just SO manipulative that even I I of the Jacqueline Susann novels and the W S Merwin o k I spread it around I go to all the neighborhoods I m not snobby is the thing I just can t abide this I m giving it one more chapter and if it doesn t get better it s going into limbo O K so it s a new day and I ve always been a cat who can admit it when she is partially incorrect about something And my earlier comments about the first part of the novel are pretty true I swear but if you can get through the chick-lit beginning the second half of the book is really interesting and gripping and moving and now I can see why people like this book so much Even the writing gets better it s grainier and she uses these really beautiful and frightening dream sequences to lay out what is happening to her characters emotionally and it is just so GOOD I would almost want to reread it just to find the place where it changes because there is a spot in the book right after they get married I don t remember exactly where when I all of a sudden knew that I was reading a different book I still have a couple of quibbles The thing is and don t read this part if you haven t read the book yet and you don t want it ruined how did he not know that his feet were going to get removed He knew all kinds of stuff why not that Or did he did I just miss that he knew And I didn t understand how the death of Clare s mom fit into the story structure Ingrid and Celia Anyone It just seemed like there was another book sitting on top of the good part of this book Like someone shuffled the pages of two drafts together or something O K so not that I don t have some issues with it but for the most part I retract my earlier statement about the book being bad It s actually really good Just keep reading even when you are sure that it s not going to be what you need it to be because then it changes and it is more"
"47","The time traveler's wife"," Liam","really liked it"," Really didn t know what to expect from this as I randomly picked it up knowing next to nothing about it But wow was this book good I loved the time travelling element so so much and the way it was written really added to that too Each chapter had me hooked and I was desperately wanting to read on This book is so utterly beautiful but also really moving I wasn t expecting tears but the tears were real I also realised there s a film of this book and was wondering if it s worth a watch I don t want it to ruin the book for me because I fell in love with everything about it more"
"48","The time traveler's wife"," Nancy","did not like it"," I gave up reading after pages or so and don t quite know where to begin what I found wrong with the book The characters were flat and I didn t connect with any of them the writing style was dull and while I generally love time travel stories the time travel aspect in The Time Traveler s Wife wasn t that believable to me I would have given up sooner but read so many positive reviews that I had hopes it would get better"
"49","The time traveler's wife"," Annie","liked it"," The time traveller s wife is probably one the rare few books that I read after having already seen the movie But it was on the list and you don t argue with the list My friend and I last year decided to take the challenge to complete the BBC list This is number twenty five On the surface it is the same old boy meets girl girl meets boy they fall in love and then something bad happens La de dah But here s the thing- the boy has a rare genetic affliction that allows him to time travel without any nifty little time machine hidden in a compact guitar case or a DeLorean And it doesn t really allow him so much as make him jump in time and therein lies the problem He cannot control where in time or place he ends up in Also he cannot take anything with him when he jumps So no money no clothes and bye bye identification Poor bugger Audrey writes in style The slow quiet prose was a good addendum to the lull left behind by the holiday season slowly receeding like a fog in my brain Perhaps it was that or the guilt of not having read much over the course of the month that got me through the book Or perhaps it were these little paragraphs strewn thoroughout the book There are a few faint lines at the corners of her eyes and mouth that are the merest suggestion of the beginnings of Clare s face in middle age I will never see that face of hers and I regret it bitterly the face with which Clare will go on without me which will never be kissed by me which will belong to a world that I won t know except as a memory of Clare s relegated finally to a definite past About the latter is it because Audrey belongs to the gender that she writes so poignantly yet beautifully on the ravages of time With my head swarming with labels and sparkling people who are supposed to set the bar on beauty in these times not to mention one very irritating duo that my Facebook newsfeed informs me every day has broken the internet with their awesomeness this capacity to axle on the metamorphosis of beauty is refreshing The above for me was the high point of the book and it s all downhill from there The story itself is very one dimensional focused on taking the characters from one point to another without much to speak for the development of the story Being primarily a love story the book plays on the concept on inevitability such that girl falls in love with a boy who happens to appear out of nowhere to her on a meadow I can understand the curiosity but not the premise that it served as the linchpin of their supposedly epic love story Am I to believe that she fell in love with boy because he appeared to her Sounds kind of desperate and Audrey doesn t really provide me much of a counter argument Even when girl and boy meets in real time all girl wants is for boy to quickly become the man she knows from her childhood Another flaw that stuck in my mind is the accident that kills boy s mother that affects him so deeply that he travels in time countless times and ends up observing the accident from all angles revolving around the epicentre of the site of accident But that is it There s no road leading to or from this point and it just acts as one tidbit of information on boy s background that is thrown our way There are galores of such subplots in the story that lead nowhere and in a book that is pages long is really really well weak writing Audrey herself admitted in an interview of the many loop holes in her concept of time travel There is no butterfly effect since boy does not really travel to a different time stream and all the bugs he steps on are pre-ordained So when the old boy meets his younger self there isn t any consequence since his timeline itself is askew Thus old boy teaching young boy tricks of survival leads to a very chicken and egg situation that makes my head hurt when I try to understand the intricacies of it According to quantum mechanics time travel beyond a boundary layer of time with the invention of the machine itself as the centre starts breaking the fabric of time So as far as boy is concerned he adheres to this rule but his daughter is capable of bending in some cases utterly shattering this rule I get that an author has the freedom to construct her own rules in her fiction but considering that there is no explanation for why the daughter is different from father and the science in the story very very vague and leaves much to the reader to construct upon his her imagination After completing the story it seems to me that the only idea in the story was to give a character the capacity for time travel and the rest of the story is poorly constructed based on that premise A pity considering the potential The engineer in me scoffs the reader in me shakes my head No more"
"50","The time traveler's wife"," Cecily","really liked it"," A longish but quite easy read a charming and unusual mix of time travel paradoxes free will versus determinism co-incidences that aren t etc coupled with a non-soppy love story It handles some of the potentially dodgy situations very sensitively eg when adult Henry visits young Clare I m not sure I d write the ending the same way and got to the point where I almost didn t want to read on in case I didn t like it ACCIDENTAL TIME TRAVELNow that I ve read Kurt Vonnegut s Slaughterhouse Five review here and Octavia Butler s Kindred review here I realise the central idea of an occasional accidental time traveller is not hers Although that detracts from what I thought was her originality her book is very different and still an excellent read FILMI avoided the film as it looked horribly sentimental in a way the book largely avoids SHARED LIKINGThis is one the very few books my husband and I have both read and both enjoyed with the exception of some proper sci-fi more"
"51","The time traveler's wife"," Nandakishore Varma","it was amazing"," Do I call it SF Do I call it romance Do I call it fantasy There are elements of all the three in it but it s refreshingly different It s a unique new take on the time travel story where the traveller himself has no control over how he jumps across the time continuum - and the travel itself is not linear Time becomes meaningless so does death"
"52","The time traveler's wife"," Trish","did not like it"," Unfortunately you can t leave stars when rating a book on goodreads If it was possible this book would get stars from me and that would be generous I had high hopes years ago when purchasing the book since so many people were absolutely thrilled by it Until this very day I don t get why The author seems to be unable to make up her mind if she is writing a time-traveller-story fantasy combined with a love story or rather a book for cuisine-lovers and cultural attach es Many times there are lengthy descriptions of food and other stuff that crawl with high and mighty words only to be followed by the most dull dialogues So on one hand it seems like Niffenegger wants to be an over-achiever creating an artful book and not just tell a story while on the other she is incapable of even only getting you to like her characters And it s sad really because the story had so much potential For years I have tried to read this book two or three in fact and every time I stopped because I just couldn t take it anymore People critize Twilight s Bella and for good reason don t get me wrong for her utter self-abandonment in favour of a perfect being - but what is this book s protagonist doing Exactly THE VERY SAME THING She s sitting around waiting for Henry arranging her daily routine so that she can comfortably wait for him Yeah right Also I really couldn t feel for any of the characters Maybe it was the lack of distinction between them Sometimes I actually had to turn back to the start of a chapter to see from whose point of view it supposedly was because their voices were all the same So all in all it was an interesting idea but very poorly executed with dull and often unnecessary dialogues followed by antagonizing dissections of the very same dialogues in the following monologue of one main character or the other an absolute lack of character development no distinction between the characters - oh and let s not forget the almost racist descriptions of the servants at Clare s home An absolute waste of my time and I m so happy for it to be over Actually I wish I would simply have stopped reading the book years ago instead of wanting to know the ending and dragging myself from page to page Which only goes to show that you cannot trust in hypes and praise all too much I seriously don t know what any person could possibly see in this book more"
"53","The time traveler's wife"," Lizzy","liked it"," The Time Traveler s Wife is a love story and a rehearsal of science-fiction as it plays with the time-travel theme The plot skips back and forth between the point-of-view of Henry the time-traveler himself and Clare his wife However I felt there was little difference in their voices Nevertheless as Henry goes skipping through time against his will we hear both points of view One of the main issues that troubled me in Audrey Niffenegger s story is that neither protagonist has much choice in their destinies He suffers from a condition that makes him disappear from one time and appear on another randomly If Henry seems to have no control of his life Clare s life has been entirely determined by Henry Since he met her when she was only years old Henry seems to have in a sense seduced her for from them on her life becomes tethered to his Nevertheless leaving aside the ambiguity of their relationship there are interesting scenery changes with the time-travel shifts and an enduring and elusive love story with its own aches and longings A well told and enjoyable book more"
"54","The time traveler's wife"," Lidia","it was amazing"," Dec a una compa era lectora Una bloguera eventual que si una novela le hac a llorar iba directa a las estrellas Ser a una buena raz n para d rselas y tambi n ser a injusto Se lleva estrellas porque hay algo que para m la hace nica e inolvidable Da igual las veces que la lea o conocer de antemano su desenlace Da igual los continuos cambios temporales Clare y Henry tienen su historia y no es f cil Y puede que haya quien no se la crea -puesto que se trata de un hombre que viaja en el tiempo- pero esa es una de las partes que yo m s valoro siempre me lo creo Olvido que no es posible y me pongo en la piel de Henry y de Clare Me creo a pies juntillas que esto es amor y que as lo vivieron Una historia muy especial para m y que nunca me atrevo a recomendar a ciegas Nunca olvido ese brindis Por un mundo suficiente y el tiempo more"
"55","The time traveler's wife"," StoryTellerShannon","it was ok"," THE TIME TRAVELER S WIFE is an interesting concept focusing on one of those what if questions that makes the contemporary setting suddenly fantastic While this is really a sci fi story it was marketed as fiction to attract more readers Hollywood is in the works to turn this into a film with rumors of Brad Pitt starring So the overall concept here is that a man and woman are married but the husband has a disease that makes him time warp either into the future or into the past of his life When he appears he is naked as nothing can be taken with him and so this begins to work to his disadvantage later in the tale He sometimes recognizes his wife and other times he does not when she recognizes him and this is all ages The main overall problem for me is that I found it tedious and slow to get through If that wasn t the case I would give this a higher score as there are some very interesting sub components to the theme even though there are some holes or logic gaps Thoughts below The story is told more in vignettes than a feeling that it is all structured together This can make it hard to follow if you are looking for an overall story thread The husband keeps time warping yet he somehow holds his job at the library Heh At one point the husband states the rule that even though he is time warping he cannot change the past or the future This rule seems to have been broken later when he wins the lottery so that they can move into a bigger house Woops The illness can pass to your children I found it peculiar that they decided to have a child who ended up getting this illness I am not saying parents would not do something like this as it happens all the time I would have preferred the reason for having a child be more explained by the parents The husband ends up visiting the wife when she is a child and this is supposedly their first meeting It didn t bother me but some people are going to be screaming pedophilia over it The husband comes across as a putz and weak around women I am unclear why the wife fell in love with him and I found her paper designs a bit too much for my tastes in the details and The guy meeting his older self and doing you know what was a bit much Yuck more"
"56","The time traveler's wife"," Gabby","liked it"," I ve wanted to read this book for years and I finally got around to it This book has a shit ton of hype and is considering the greatest romance of all time when in reality this story is just okay I think the concept is interesting for sure it follows Henry a time traveler who meets his wife Clare when she is a young girl It follows them over decades as he tries to figure out why this happens to him and it sucks because he has no control over it so he can just disappear out of Clare s life at any moment in time Clare and Henry are okay characters but I never really connected with either of them Clare has no life outside of Henry and all she ever thinks about and talks about is Henry so it got kind of irritating at times Henry on the other hand has a pretty interesting back story and I found his character slightly more interesting than Clare but not by much Can we also talk about how creepy this concept is I mean a full grown man appears completely nude in the meadow behind Clare s house when she is only a little girl and it s love at first sight I guess He asks her to bring him some of her Dad s clothes and he doesn t flirt with her or do anything weird but it s still weird Imagine if Clare s parents found out about him when she was a little girl They would freak the fuck out I m sure of it Overall this concept is interesting and this story is okay but it s nothing sensational and certainly not something I m going to remember in a few months Also this book was way too long for what it was It was over pages and it could ve easily been cut down by pages or more There were so many filler pointless scenes especially the scenes of their dreams I was expecting more from one of the apparent greatest love stories of all time but I guess that s setting the bar kind of high more"
"57","The time traveler's wife"," Radwa","it was amazing"," https www youtube com watch v Aqf o It took me half an hour to just stop crying and be able to write any kind of review about this First of all I hate Gomez s existence in this story Now onto this wonderful gem I can t really describe it If you ve seen the movie About Time this is a more dramatic and tragic version of it But that s not a good explanation either It s the story of Henry and Clare Henry is a time-traveller and Clare is the love of his life and they struggle A LOT in their relationship It s a fantasy romance there s a lot of art philosophy and literature weaved into the story Even though the ending was spoiled for me but I couldn t help crying EVEN THOUGH I KNEW This is a book about eternal love that time is nothing about loyalty about waiting for someone your entire life and what that waiting does to you This book represents a lot of things and I love every one of them I thought of taking down the review one star for being too sad but it s real if we can overlook the time-travel bit life is harsh unexpected and full of flaws yet the few moments of happiness we experience make everything worthwhile I love this book and this is by no means an adequate review but I honestly gave up on the idea of writing an overly long review and I ll just say one thing prepare a lot of tissues and read this book more"
"58","The time traveler's wife"," Angela","it was amazing"," I m having trouble trying to figure out what to say about this book I loved it I loved almost everything about it with the exception of Clare s several pages of baby rabies For a first novel The Time Traveler s Wife is quite amazing Niffenegger manages the complications of time travel quite easily As I read it I never felt confused or frustrated by the time changes or Henry s constant displacement foreknowledge confused ignorance etc This is not a sci-fi book although it has the time travel element It is first and foremost a love story or more accurately a love-conquers-all-things story Though it s hard to tell how anyone would react to meeting or being a truly Chronologically Displaced Person I think Niffenegger did a fantastic job of writing the situations realistically I don t feel as if a single second was wasted in her use of time itself as a main player I expected tears to be falling as I made it to the bittersweet end but a -page week-long romp through a time traveling romance is apparently not enough for me to become emotionally involved enough to cry Four months and thousands of pages a la King s Dark Tower series sure I cried like a baby She chose perhaps the only way to end a story such as this one perfectly And at just the right time more"
"59","The time traveler's wife"," Anna","really liked it"," A really cute and quiet lovestory"
"60","The time traveler's wife"," Liza","really liked it"," I want the option of stars I give this one I m always afraid of two things when I ve been as captivated by a book as I have been this one The first is that no one else will feel the same way I do about it What if it s actually horrible and for some reason I love it I m no literary genius after all But I suppose we are all entitled to our own opinions and there are certainly plenty of great reads out there that I am sure I did not love or would not love if I ever read them The second happens about of the way in and can be a little suffocating if you think you know what s going to happen the fear of finishing What if it s as sad as I am expecting What if all my questions aren t answered What if I just don t want the story to end What if I m not as satisfied as I think I should be once it has actually ended and there s no hope of more Nevertheless I always finish And I am resolved to the fact that just because I love something doesn t mean you will love it too and that s ok This book brought out these fears in an immensely incredible way for me Sometimes I connect with a book because I feel like I am actually watching the story play out but only as an outsider sort of as if I am good friends with the characters But sometimes rarely I connect with a book because I feel like I am the character That was the case with this book And that s why I couldn t stop reading David is finally finished so I can say more I loved the first half of this book Since we meet Clare when she is so young I felt like I sort of grew up with her getting to know this time-traveling Henry at the same time as her But even in the first half I struggled with a few things Where did The List come from And how did two Henry s appear at the same time and place so often Maybe we aren t supposed to know those things but they bothered me a bit But I was easily caught up in the lives of the characters and sort of swept away by their story Captivated really The nd half was a little more frustrating and not quite as lovable though still very enjoyable and able to keep my attention for looong periods of time But my fear of finishing with my questions still unanswered was a legitimate fear here and I think maybe that plays into my not liking the nd half as much I contrary to David did not like the ending Maybe I just wanted more I m not sure I just know I felt a little let down at the end Clare and Henry went through a whole lot of crap all for it to end way too early in their lives And Alba never really gets to know Henry I know that not all stories are supposed to end happy and I am not a fan of writing a happy ending just for the sake of a happy ending But I think Clare and Henry got a little cheated here Her knowledge of Henry coming at some point is not enough for me She spends the rest of her life just waiting on him to show up never knowing when he will After having The List as a child and then having him almost constantly as an adult until his death it just seems unfair that after his death she gets up every day and waits to see if it s a day he will arrive I finished feeling rather sorry for Clare and Alba and frustrated for Henry but having enjoyed their story immensely up until that point more"
"61","The time traveler's wife"," Wilja","did not like it"," Abgebrochen bei Ein ganz starker Anfang Es war sehr vielversprechend Aber die Hauptgeschichte dreht sich doch darum wie Clare und Henry im den ern zusammenkommen und recht normale Dramen erleben ab und an reist Henry auch noch aber das ist wohl mehr um den Leser zu erinnern das er ein Zeitreisender ist Ich fand den SS jetzt nicht so mitrei end um weiter zu lesen und Clare und Henry f hlte ich mich auch nicht sonderlich verbunden Es pendelte sich dann bei einer durchschnittlichen Lovestory ein bei der ich kaum empf nglich f r die wohl sehr subtile Romantik war Schade ich wollte es m gen more"
"62","The time traveler's wife"," Miss Kim","really liked it"," starsThis is one of those books that everyone reads and you love it or hate it I am not sure if I loved it but it is a very good book For me it was a bit hard to follow at first because I didn t understand all the popping back in forth in time and what was the present and why it was happening Henry spontaneously time-travels He seems to only travel to places in his past that he is familiar with He meets his future wife when she is six and he is middle aged In reality he is eight years older than her but Clare grows up with him her entire life About pages in everything clicked for me and the story grabbed me and sucked me in I won t go into much of a story synopsis since there are so many better ones here on GR I recommend it to everyone you just have to have an open mind I read some reviews comparing Henry to Humbert Humbert but I never really got that feeling He never does anything inappropriate when Clare is a child I was disappointed in the ending but it doesn t make my end pissed me off shelf because I wasn t really mad just sad I felt sad for Clare and for Henry both more"
"63","The time traveler's wife"," Adam Dalva","really liked it"," Romantic as hell and a compulsive pleasure - the concept given away in the title is often brilliant and very well thought out There are so many moments here that will stick with me and the book has a pleasurable structure that will make it re-readable it was great to go back and read the first pages knowing what I knew about Henry and Clare - one of the great couples in books Problems You betcha A N s prose is good but her dialogue is stilted strange unique maybe to have dialogue in a much HIGHER register than descriptive prose There are three too many supportive friend characters who are minorities with stereotypical attributes whose plot function is solely to help the white protagonists a literal actual Mammy a sassy Korean lady a gay man with HIV I think the ending though decent could have been better the hazards of writing your end first But man not only could I not put this down I was genuinely moved by it There s something timeless haha about it that I think very well might endure Perhaps it s more great than good Perhaps the melding of sci-fi experimentalism and contemporary realist prose works well But maybe it s just that love is wonderful more"
